year,context,cluster
1,parti grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması özgür özel manisa sayın başkan tabii ben özellikle polemikten uzak durmaya çalıştım,103
1,özgür bey benim hayatım eylemle geçti gider bakarız yani özgür özel manisa ben size demedim ben cumartesi anneleri meselesini başkan açalım,68
1,başkan açalım mikrofonu müdahale etmeyelim arkadaşlar karşılıklı konuşmayalım lütfen özgür özel manisa i kinci mesele yine değerli manisa milletvekilimizin kürsüden konuştuğu,35
1,çocuğu da perişan ağlıyordu mikrofon otomatik cihaz tarafından kapatıldı özgür özel manisa sayın başkanım son kez ben de rica ediyorum başkan,126
1,son kez ben de rica ediyorum başkan açalım arkadaşlar özgür özel manisa bunu biri anlattı cumhurbaşkanı i zledim cuma günü görüntüleri,126
1,ndaki bazı ifadeleri ile manisa milletvekili özgür özel in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması özlem zengi n,103
1,yöntemleri hemen sayfayı çevirin 20 nci sayfada alternatif sayın özgür özel saydı madde madde saydı burada çünkü tek tip bir çözüme,29
1,yerde ben görüntüyü gördüm izledim böyle bir şey söylemedi özgür özel manisa cuma günü izleteceğim dedi özlem zengi n tokat söylemedi,11
1,cuma günü izleteceğim dedi özlem zengi n tokat söylemedi özgür özel manisa cuma günü izleteceğim dedi özlem zengi n tokat konuşuruz,11
1,özlem zengi n tokat konuşuruz bunları daha detaylı konuşuruz özgür özel manisa bir araştırma komisyonu kuralım mı var mısınız kabataş hakkında,98
1,çıkan algı üzerinden bu meseleyi artık tartışmayalım gerçeği konuşalım özgür özel manisa sayın başkanım doğrudan ismim geçti lütfü türkkan kocaeli sayın,93
1,n tokat ya şu 14 bin ne oldu hakikaten recep özel isparta o konuda sen cevap vermedin ki ya lütfü türkkan,93
1,konuştu böyle bir usulümüz yok aslında lütfen rica ediyorum sayın özel buyurun,30
1,ndaki bazı ifadelerine ilişkin açıklaması özgür özel manisa teşekkür ederim sayın başkan kabataş olayında gerçek şu o,103
1,niyetiyle olduğu açık özlem zengi n tokat geziciler yani özgür özel manisa bir ifade kullanıldı üzerinde elbisesi olmayan altı deri pantolonlu,17
1,ye izleteceğim dedi cumhurbaşkanı özlem zengi n tokat röportaj özgür özel manisa ardından iki tane gazeteci görüntüleri biz de izledik dedi,201
1,tayyip erdoğan da kalmıştır mikrofon otomatik cihaz tarafından kapatıldı özgür özel manisa aksini ispatlayacaksanız salı günü kabataş olayını araştırma önergesi getir,35
1,sıralarından alkışlar özlem zengi n tokat evet hodri meydan özgür özel manisa o yalanın altında kaldınız v kanun tekli fleri i,98
1,altinok erzurum ne alakası var şimdi ne alakası var recep özel isparta bu nereden çıktı başkanım böyle bir usul var mı,30
1,perşembe saat 14 00 1 başkanliğin genel kurula sunuşlari 2 özel gündemde yer alacak i şler 3 seçi m 4 oylamasi,12
1,mehmet ali çelebi i zmir teşekkürler sayın başkan özel güvenlik haftası ndayız sayıları 320 bine varan özel güvenlik camiasını,14
1,sayın başkan özel güvenlik haftası ndayız sayıları 320 bine varan özel güvenlik camiasını kutluyorum onlar saldırı ve saldırganların ilk hedefindeler tehlikeli,14
1,karşı korunmasızlar farklı işlerde çalıştırılmaktalar kolluk kuvvetlerinin en büyük destekçisi özel güvenlikçilerimizi unutmayalım diyorum onların deyişiyle özel güvenlik her yerde görmezden,13
1,kuvvetlerinin en büyük destekçisi özel güvenlikçilerimizi unutmayalım diyorum onların deyişiyle özel güvenlik her yerde görmezden gelme teşekkürler başkan sayın özkan,13
1,mehmet ali çelebi i zmir teşekkürler sayın başkan özel güvenlik haftası ndayız sayıları 320 bine varan özel güvenlik camiasını,14
1,sayın başkan özel güvenlik haftası ndayız sayıları 320 bine varan özel güvenlik camiasını kutluyorum onlar saldırı ve saldırganların ilk hedefindeler tehlikeli,14
1,karşı korunmasızlar farklı işlerde çalıştırılmaktalar kolluk kuvvetlerinin en büyük destekçisi özel güvenlikçilerimizi unutmayalım diyorum onların deyişiyle özel güvenlik her yerde görmezden,13
1,kuvvetlerinin en büyük destekçisi özel güvenlikçilerimizi unutmayalım diyorum onların deyişiyle özel güvenlik her yerde görmezden gelme teşekkürler başkan sayın özkan,13
1,de cumhuriyet halk partisi grup başkan vekili manisa milletvekili özgür özel e söz veriyorum buyurun sayın özel,102
1,vekili manisa milletvekili özgür özel e söz veriyorum buyurun sayın özel,148
1,özgür özel manisa teşekkürler sayın başkan bugün 27 haziran 1998 de yaşanan,158
1,185 tbmm b 95 27 6 2019 o 1 özgür özel manisa şunu biliyor ki canan kaftancıoğlu i stanbul i ttifakı,106
1,yanındayız arkasındayız teşekkür ediyorum chp sıralarından alkışlar başkan teşekkürler sayın özel şimdi de ak parti grup başkan vekili tokat milletvekili özlem,15
1,usulsüzlük yapanların hukuken bedelini kesin ödemesi gerekmektedir teşekkürler başkan sayın özel söz talebiniz var galiba buyurun,194
1,özgür özel manisa sayın başkan 27 haziran 1979 da manisa da eczanesinde,198
1,201 tbmm b 95 27 6 2019 o 2 özgür özel manisa neşe gülersoy katledildiğinde eczanesi manisa daydı medak ın kurucusuydu,106
1,acısını 40 ıncı yılında paylaşıyorum teşekkür ederim başkan teşekkürler sayın özel vi kanun tekli fleri i le komi syonlardan gelen di,16
1,mikrofon otomatik cihaz tarafından kapatıldı başkan teşekkürler sayın zengin sayın özel,65
1,ndaki bazı ifadelerine ilişkin açıklaması özgür özel manisa böyle bir konuda tabii grup başkan vekili olarak sözü,30
1,2019 o 2 başkan bir dakika daha süre veriyorum sayın özel buyurun özgür özel manisa devleti bir suç örgütü gibi yönetme,92
1,başkan bir dakika daha süre veriyorum sayın özel buyurun özgür özel manisa devleti bir suç örgütü gibi yönetme maharetinizi de biliyoruz,111
1,yani hakikaten mahcup olmayın diye üstünüze gelmiyorum başkan teşekkürler sayın özel sayın ağıralioğlu yavuz ağirali oğlu i stanbul geri alıyorum başkan,22
1,bir cümle söylemem lazım şimdi bunları söylemeye gerek yok sayın özel yani böyle bir üsluba gerek yok ben bulunduğum konum ve,30
1,söylediğim şeyden mesulüm o sebeple yani size herhâlde mi t özel haber mi veriyor telefon mu ediyor benim öyle mi t,68
1,bir konuşmam falan olmadı buraya gelirken demek ki size içeriden özel bilgi geliyor herhâlde hâlâ fetö cüler size haber geçiyor içeriden,23
1,koyma imkânımız olur teşekkür ederim ak parti sıralarından alkışlar özgür özel manisa sayın başkan başkan sayın özel buyurun 210 tbmm b,92
1,parti sıralarından alkışlar özgür özel manisa sayın başkan başkan sayın özel buyurun 210 tbmm b 95 27 6 2019 o 2,92
1,ndaki bazı ifadelerine ilişkin tekraren açıklaması özgür özel manisa sayın başkan şunu anlayalım ve anlatalım kimsenin karşısında çocuk,103
1,değiliz kimse çocuk değil bu lafları söylemeye gerek yok özgür özel manisa 31 marta kadar ağzına gelen her şeyi söyleyip bu,17
1,alıp gelip mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun sayın özel özgür özel manisa anadolu ajansına konuşması ve o mektubun bütün,140
1,mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun sayın özel özgür özel manisa anadolu ajansına konuşması ve o mektubun bütün türkiye ye,155
1,tekraren açıklaması özlem zengi n tokat şimdi sayın başkan sayın özel bağırdıkça daha iyi anlaşıldığını zannediyor ne demek yani özgür özel,98
1,özel bağırdıkça daha iyi anlaşıldığını zannediyor ne demek yani özgür özel manisa bağırmak değil ya sakin konuştum anlamadın ondan yüksek sesle,140
1,kimseye çocuk muamelesi yapmıyor siz bize öyle muamele ediyorsunuz özgür özel manisa kargalar güler karga muamelesi yapıyorsunuz takip edenlere özlem zengi,17
1,organize ediyor ya teşekkür ederim ak parti sıralarından alkışlar özgür özel manisa sayın başkan 211 tbmm b 95 27 6 2019,22
1,da söz istiyor deminden beri kendisine söz vereyim sonra özgür özel manisa tamam başkan buyurun sayın ağıralioğlu ak parti sıralarından gürültüler,109
1,oyalamaktan öteye gidemeyiz teşekkür ediyorum başkan teşekkürler sayın kurtulan sayın özel,15
1,özgür özel manisa aslında hatırlatılacak çok şey söyleyecek çok şey ve söyledikçe,51
1,yapmadığıma çok eminim yani o yüzden âmin yani sonuçta özgür özel manisa günahı boynunuza özlem zengi n tokat evet aynı şekilde,148
1,tan rahmet yaralılara da acil şifalar diliyoruz bugün 26 haziran özel güvenlik günü ve haftası dır türkiye de çok önemli bir,165
1,haftası dır türkiye de çok önemli bir görevi ifa eden özel güvenlikçi kardeşlerimizin gününü haftasını tebrik etmek istiyoruz onların özlük haklarıyla,39
1,alakalı hukuki olarak yaşadıkları mağduriyetlerle alakalı olarak milliyetçi hareket partisi özel güvenlikçi kardeşlerimizin her zaman yanındadır ihtiyaç duyulan bütün düzenlemelerde olumlu,15
1,de söz sırası cumhuriyet halk partisi grup başkan vekili özgür özel de buyurun sayın özel,102
1,halk partisi grup başkan vekili özgür özel de buyurun sayın özel,102
1,ndaki bazı ifadelerine ilişkin açıklaması özgür özel manisa teşekkür ederim sayın başkan 26 haziran türkiye nin 50,103
1,yaşandı mikrofon otomatik cihaz tarafından kapatıldı başkan devam edin sayın özel buyurun özgür özel manisa sokağa çıkma yasakları ve ordumuzun verdiği,57
1,cihaz tarafından kapatıldı başkan devam edin sayın özel buyurun özgür özel manisa sokağa çıkma yasakları ve ordumuzun verdiği şehitlerimiz sivil ölümleri,57
1,ediyoruz mikrofon otomatik cihaz tarafından kapatıldı başkan devam edin sayın özel buyurun özgür özel manisa sayın başkan biraz önce bu bölüme,91
1,cihaz tarafından kapatıldı başkan devam edin sayın özel buyurun özgür özel manisa sayın başkan biraz önce bu bölüme siz atfetmiştiniz tabii,162
1,alalım muhammed levent bülbül sakarya yahu yeterli görmüyoruz manasında özgür özel manisa aynen şunu söylüyoruz sandıktan çıkmak meşruiyetinin iki tane temel,147
1,temel ayağı vardır muhammed levent bülbül sakarya yeterli görmüyoruz özgür özel manisa şimdi ben burada habermas ı falan anlatmamayım ama iki,147
1,mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun sözlerinizi bağlayın sayın özel özgür özel manisa biraz daha zamana ihtiyacım var sayın başkanım,65
1,cihaz tarafından kapatıldı başkan buyurun sözlerinizi bağlayın sayın özel özgür özel manisa biraz daha zamana ihtiyacım var sayın başkanım eşitsiz propaganda,203
1,demişti muhammed levent bülbül sakarya biz takip edeceğiz diyoruz özgür özel manisa sayın aday binali yıldırım 3 bin oyla galibiyetini ilan,147
1,stanbullu geri verdi muhammed levent bülbül sakarya biz çökmedik özgür özel manisa burada çok açık ve net bir şekilde anlaşılıyor ki,147
1,göreceğiz mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun toparlayın sayın özel 36 tbmm b 94 26 6 2019 o 1 muhammed,105
