speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
Hüseyin Mert,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,Demokratik Sol Parti,,,,
Hüseyin Muzaffer Akpınar,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Hüseyin Mükerrem Hiç,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,,,,,,,,,,
Hüseyin Nahit Yenişehirlioğlu,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,,
Hüseyin Nazım Ağacıkoğlu,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Hüseyin Necmettin Kadri Osten,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Hüseyin Nurettin Ünen,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,,
Hüseyin Nusret Durakbaşa,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Hüseyin Nuğman Kemal Menemencioğlu,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Nüzhet Akın,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Olgun Akın,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Hüseyin Orhan Göncüoğlu,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,
Hüseyin Ortakcıoğlu,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Pazarcı,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Hüseyin Pertev Sanaç,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Rahmi Apak,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Hüseyin Rahmi Gürpınar,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Hüseyin Rauf Orbay,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Hüseyin Remzi Şenel,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,,
Hüseyin Rıfkı Bey,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Sabri Dilek,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Sabri Dura,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Sabri Keskin,,,,,,,,,,,,Yeni Türkiye Partisi,Yeni Türkiye Partisi,Yeni Türkiye Partisi,Yeni Türkiye Partisi,,Yeni Türkiye Partisi,Yeni Türkiye Partisi,,,,,,,,,
Hüseyin Saki Zorlu,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Hüseyin Samani,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Hüseyin Sami Coşar,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Hüseyin Sami Gülcüoğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Hüseyin Sami İşbay-Coşar,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Hüseyin Sedat Dikmen,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Hüseyin Selâh Cimcoz,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Hüseyin Suat Sungur,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,
Hüseyin Sırrı Bellioğlu,Cumhuriyet Halk PartisiKângırıMilletvekili4. DönemCumhuriyet Halk Partisi,,,Cumhuriyet Halk PartisiKângırıMilletvekili4. DönemCumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Sıtkı Gür,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Tanrıverdi,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Hüseyin Tayfun İçli,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,Demokratik Sol Parti,,,,
Hüseyin Tiryakioğlu,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Hüseyin Tuğcu,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Hüseyin Ulus,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Umran Yiğiter,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Hüseyin Vasıf Çınar,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Yaycıoğlu,,,,,,,,,,,,,Millet Partisi,,,,,,,,,,,,,,
Hüseyin Yayla,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Hüseyin Yayman,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi
Hüseyin Yaşar Gümüşel,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Yenipınar,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Hüseyin Yıldız,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,Milliyetçi Hareket Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Hüseyin Yılmaz,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Hüseyin Çamak,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Hüseyin Çelik,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,Adalet Partisi,,,,,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,,,
Hüseyin Çelikbaş,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Çimen,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Hüseyin Çitil,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Hüseyin Çınar,,,,,,,,,,,,,,Birlik Partisi,,,,,,,,,,,,,
Hüseyin Örs,,,,,,,,,,,,,,,,,,,,,,,,,,,İyi Parti
Hüseyin Özalp,,,,,,,,,,,,Adalet Partisi,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,Adalet Partisi,Adalet Partisi,,,,,,,,
Hüseyin Özbakır,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Hüseyin Özbay,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Hüseyin Özcan,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Hüseyin Özdemir,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,
Hüseyin Ünsal,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Hüseyin Üzülmez,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Hüseyin Şahin,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Hüseyin Şanverdi,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Hüseyin Şekip Engineri,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Hüseyin Şen,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Hüseyin Şükrü Özsüt,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Hüsniye Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,
Hüsnü Cahit Koçkar,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,,,,,,,,
Hüsnü Erol Yeşilpınar,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Hüsnü Kortel,,,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Hüsnü Okçuoğlu,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Hüsnü Ordu,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Hüsnü Sıvalıoğlu,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Hüsnü Tuna,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Hüsnü Yusuf Gökalp,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Hüsnü Yılmaz,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Hüsnü Çanakcı,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,
Hüsnü Çöllü,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Hüsnüye Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Hüsrev Gerede,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Hüsrev Sami Kızıldoğan,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Hıfzı Oğuz Bekata,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Hıfzırrahman Raşit Öymen,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Hızır Aydın,,,,,,,,,Demokrat Parti,,Demokrat Parti,,,,,,,,,,,,,,,,
Işılay Saygın,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,Milliyetçi Demokrasi Partisi,Milliyetçi Demokrasi Partisi,Milliyetçi Demokrasi Partisi,Milliyetçi Demokrasi Partisi,,,,,,
Işın Çelebi,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,,,,,,
Jale Nur Süllü,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Jülide Sarıeroğlu,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Jülide İskenderoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Kadim Durmaz,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Kadir Aydın,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Kadir Bozkurt,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,
Kadir Demir,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Kadir Eroğan,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Kadir Gökmen Öğüt,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Kadir Görmez,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Kadir Kocaeli,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Kadir Koçdemir,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,
Kadir Narin,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Kadir Ramazan Coşkun,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,
Kadir Tıngıroğlu,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Kadir Ural,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,
Kadir Çetin,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Kadrettin Oğuzalıcı,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Kadri Ahmet Kürkçü,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadri Altay,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,,,,,,,,,,
Kadri Bey,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadri Enis Berberoğlu,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Kadri Güçlü,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Kadri Oktay,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadri Ramazanoğlu,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Kadri Yıldırım,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,
Kadri Özek,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Kahraman Arıklı,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Kahraman Emmioğlu,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Kamer Genç,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,
Kamil Aydın,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi
Kamil Okyay Sındır,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Kani Beko,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Karabey Kadri Karaoğlu,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,
Kasım Bostan,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Kasım Dede,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasım Emre,,,,,,,,,,,,,,Bağımsız,Bağımsız,Bağımsız,,,,,,,,,,,
Kasım Gülek,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Kasım Küfrevi,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,
Kasım Nuri Bey,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasım Parlar,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Kasım Önadım,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Kaya Bengisu,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Kaya Opan,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Kaya Çakmakçı,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Kaya Özdemir,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Kayhan Türkmenoğlu,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Kazim Ataoğlu,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,,
Kazim Kangal,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Kazım Arslan,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Kazım Kurt,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Kazım Türkmen,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Kazım Üstüner,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,,
Kemal Akkaya,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Kemal Aksöyek,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Kemal Aktaş,,,,,,,,,,,,,,,,,,,,,,,,Bağımsız,,,
Kemal Albayrak,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,
Kemal Atakurt,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Kemal Ataman,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Kemal Aytaç,,,,,,,,,,,,,Cumhuriyetçi Köylü Millet Partisi,,,,,,,,,,,,,,
Kemal Badıllı,,,,,,,,,,,,Yeni Türkiye Partisi,,,,,,,,,,,,,,,
Kemal Birlik,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Kemal Bülbül,,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi
Kemal Cevher,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Kemal Demirel,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Kemal Demirer,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Kemal Derviş,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Kemal Değirmendereli,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Kemal Doğan,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Kemal Doğan SUNGUNxx,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Kemal Ekinci,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Kemal Erdem,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Kemal Eren,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Kemal Evliyaoğlu,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Kemal Fikri Serdaroğlu,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Kemal Gürol,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Kemal Kabataş,,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,
Kemal Kacartunalı,,,,,,,,,,,,,Millet Partisi,Millet Partisi,,Millet Partisi,,,,,,,,,,,
Kemal Köse,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Kemal Kılıçdaroğlu,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Kemal Naci Ekşi,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,
Kemal Nebioğlu,,,,,,,,,,,,,Türkiye İşçi Partisi,,,,,,,,,,,,,,
Kemal Okyay,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Kemal Or,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Kemal Peköz,,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi
Kemal Sahir Kurutluoğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Kemal Sağ,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Kemal Tabak,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,
Kemal Tekden,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,
Kemal Türkoğlu,,,,,,,,,Bağımsız,,,,,,,,,,,,,,,,,,
Kemal Unakıtan,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Kemal Vatan,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Kemal Yörükoğlu,,,,,,,,,Demokrat PartiHakkâriMilletvekili10. DönemDemokrat Parti,Demokrat PartiHakkâriMilletvekili10. DönemDemokrat Parti,,,,,,,,,,,,,,,,,
Kemal Zeybek,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Kemal Zeytinoğlu,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Kemal Ziya Öztürk,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,
Kemal Çelik,,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,Doğru Yol Partisi
Kemal Özer,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Kemal İğrek,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Kemal Şensoy,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Kemalettin Aydın,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma PartisiHakkâriMilletvekili24. DönemAdalet ve Kalkınma Partisi,Adalet ve Kalkınma PartisiHakkâriMilletvekili24. DönemAdalet ve Kalkınma Partisi,Adalet ve Kalkınma PartisiHakkâriMilletvekili24. DönemAdalet ve Kalkınma Partisi,,
Kemalettin Göktaş,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,Refah Partisi,Refah Partisi,,,,
Kemalettin Kamû,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Kemalettin Nalcı,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,
Kemalettin Olpak,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Kemalettin Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,
Kemalettin Yılmaztekin,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Kemalettin Öke,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Kemali Bayazit,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Kemâl Terzioğlu,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Kemâlettin Gökakın,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,
Kenan Akman,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Kenan Akmanlar,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Kenan Altun,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Kenan Aral,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Kenan Durukan,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Kenan Mümtaz Akışık,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Kenan Nuri Nehrozoğlu,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Kenan Sofuoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Kenan Sönmez,,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,
Kenan Süzer,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Kenan Yılmaz,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Kerem Ali Sürekli,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Kerem Altun,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Kerem Güneş,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Kerem Özcan,,,,,,,,,,,,Cumhuriyetçi Köylü Millet Partisi,,,,,,,,,,,,,,,
Kerem Şahin,,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Kerim Özkul,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Kevni NEDİMOĞLUxx,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Kevni Nedimoğlu,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Keşşaf Mehmet Kurkut,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Kigork Berç Keresteci,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Kinyas Kartal,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Koray Aydın,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,Milliyetçi Hareket Partisi,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,,Milliyetçi Hareket Partisi
Korkut Özal,,,,,,,,,,,,,,,Millî Selamet Partisi,Millî Selamet Partisi,,,,Millî Selamet Partisi,,,,,,,
Kubilay Uygun,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,,
Kudbettin Hamidi,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Kuddusi Aytaç,,,,,,,,,,,,Yeni Türkiye Partisi,,,,,,,,,,,,,,,
