speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
Yusuf Akçora,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Yusuf Akçura,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Yusuf Aysal,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Yusuf Bacanlı,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Yusuf Bahadır,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Yusuf Bahri Tatlı,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusuf Bahri Ulusoy,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Yusuf Başer,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Yusuf Başkaya,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Yusuf Behçet Gücer,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Yusuf Beyazıt,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Yusuf Bozkurt Özal,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,
Yusuf Cemal Gönenç,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Yusuf Cemal Özkan,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Yusuf Cemil Altay,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusuf Cemil Şener,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Yusuf Coşkun,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Yusuf Demir,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Yusuf Duygu Karslıoğlu,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
