speech_giver,political_party,terms
Hasan Pertev Aşçıoğlu,Anavatan Partisi,"[17, 18]"
Hasan Sert,Adalet ve Kalkınma Partisi,"[25, 26]"
Hasan Subaşı,Doğru Yol Partisi(1989-2004)İYİ Parti(2018-2023),[27]
Hasan Turan,,[]
Hasan Ufuk Çakır,Cumhuriyet Halk Partisi,[28]
Hasan Zeng,,[]
Hasan Çalış,,"[21, 23]"
Hasan Çilez,Adalet ve Kalkınma Partisi,"[27, 28]"
Hasan Ören,Cumhuriyet Halk Partisi,"[22, 24]"
Hasan Özdemir,,[]
Hasan Özgüneş,Halkların Demokratik Partisi,[27]
Hasip Kaplan,Halkların Demokratik Partisi(2014-2018),"[23, 24]"
Hatice Dudu Özkal,Adalet ve Kalkınma Partisi(2001-2020)Demokrasi ve Atılım Partisi(2020-günümüz),[26]
Hayati Arkaz,İYİ Parti(2017-2018)Milliyetçi Hareket Partisi(2018-günümüz),[27]
"Hayati Arkaz,’ın kronik böbrek hastalığına ilişkin açıklaması 322 16.- Kocaeli Milletvekili İlyas Şeker",,[]
Hayati Tekin,,"[25, 26]"
Hayati Yazıcı,Anavatan Partisi(1987-1992)Refah Partisi(1992-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-günümüz),"[22, 23, 24, 26, 27]"
Haydar Akar,,"[24, 25, 26, 27]"
Haydar Akar’ın 502 sıra sayılı Kanun Tasarısı’nın 14’üncü maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 995:996 51.- Sakarya Milletvekili Mustafa İsen,,[]
Haydar Akar’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 99:101 3.- Çanakkale Milletvekili Bülent Turan,,[]
Haydar Akar’ın sürekli müdahalede bulunmasının yanlış bir tavır olduğuna ilişkin açıklaması 199 18.- Manisa Milletvekili Erkan Akçay,,[]
Haydar Kemal Kurt,,[23]
Haydar Koyuncu,,"[17, 18]"
Hayrettin Elmas,Anavatan Partisi,"[17, 18]"
Hayrettin Nuhoğlu’n,Milliyetçi Hareket Partisi(1977-2017)İYİ Parti(2017-günümüz),[27]
Hazım Kutay,Anavatan Partisi,"[17, 18]"
Haİl Çulhaoğlu,,[]
Haşim Teoman Sancar,Cumhuriyet Halk Partisi(?-2021),[27]
Heval Bozdağ,Halkların Eşitlik ve Demokrasi Partisi,[28]
Hikmet Ayar,Refah PartisiFazilet PartisiAdalet ve Kalkınma Partisi,"[25, 26]"
Hikmet Yalım Halıcı,Cumhuriyet Halk Partisi,[28]
Hilmi Bilgin,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Hilmi Biçer,,"[14, 17, 18]"
Hilmi Nabantoglu,,[]
Hilmi Nalbantoğlu,,[]
Hilmi Nalbantöğü,,[]
Hilmi Nalbanıöğü,,[]
Hilmi Yarayıcı,,"[25, 26]"
Hilmi Ziya Postacı,,[]
Hişyar Özsoy,Halkların Demokratik Partisi,"[25, 26, 27]"
Hulusi Güvel,Cumhuriyet Halk Partisi,[23]
Hurşit Yıldırım,Adalet ve Kalkınma Partisi,[26]
Hüda Kaya,Halkların Demokratik Partisi,"[25, 26, 27]"
Hüda Kaya’nın gözaltına alınmasıyla ilgili bilgi gelir gelmez Meclisi bilgilendireceğine ilişkin açıklaması 649:650 568 TBMM B: 34 8 . 12 . 2016 Sayfa 17.- Diyarbakır Milletvekili Çağlar Demirel,,[]
Hüda Kaya’nın serbest bırakıldığına ilişkin açıklaması 657 19.- Diyarbakır Milletvekili Çağlar Demirel,,[]
Hülya Güven,,[24]
Hülya Nergis,,"[26, 27]"
Hüsamettin Korkuıata,,[]
Hüsamettin Zenderlioğlu’n,Bağımsız(? - 2011)Halkların Demokratik Partisi(2011 günümüz),[24]
Hüseyin Altınsoy,Adalet ve Kalkınma Partisi,[28]
Hüseyin Avni Aksoy,Demokratik Sol Parti(1991)Cumhuriyet Halk Partisi(2018-2021)Memleket Partisi(2021-2025),[27]
Hüseyin Avni Güler,,[]
Hüseyin Avni Sağşen,Halkçı PartiSosyaldemokrat Halkçı Parti,[17]
Hüseyin Aydemir,,[17]
Hüseyin Aygün,Cumhuriyet Halk Partisi,[24]
Hüseyin Barlas Doğu,Anavatan Partisi(1983-1991)Bağımsız(1991-2015)Vatan Partisi(2015-),"[17, 18]"
Hüseyin Bürge,Refah PartisiFazilet PartisiAdalet ve Kalkınma Partisi,"[24, 25, 26]"
Hüseyin Kaçmaz,Halkların Demokratik Partisi,[27]
Hüseyin Kocabıyık,Adalet ve Kalkınma Partisi(2014–2025),"[25, 26]"
Hüseyin Mükerr,,[]
Hüseyin Mükrem Hic,,[]
Hüseyin Yayman,Adalet ve Kalkınma Partisi,"[25, 27, 28]"
Hüseyin Yıldız,,[]
Hüseyin Yıldız’ın 273 sıra sayılı Kanun Tasarısı’nın 19’uncu maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 912:913 23.- Diyarbakır Milletvekili İdris Baluken,,[]
Hüseyin Çamak,Cumhuriyet Halk Partisi,[26]
Hüseyin Örs,İYİ Parti,[27]
Hüseyin Özbakır,Adalet ve Kalkınma Partisi,"[25, 26]"
Hüseyin Ünsal,Cumhuriyet Halk Partisi,[23]
Hüseyin Ünsal’ın konuşmasında adı geçen Cihan Gündüz’e ilişkin açıklaması 536 5.- Şırnak Milletvekili Hasip Kaplan,,[]
Hüseyin Şanverdi,Refah Partisi(1991-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-günümüz),[27]
Hüsmen Kırkpınar,Milliyetçi Hareket PartisiİYİ Parti,[28]
Hüsnü Çöllü,Cumhuriyet Halk Partisi,[23]
Hüsnüye Erdoğan,Adalet ve Kalkınma Partisi,"[25, 26]"
Işılay Sayg,,[]
Işın Çelebi,Anavatan Partisi,"[18, 19, 20, 21]"
Jale Nur Süllü’n,Cumhuriyet Halk Partisi,"[27, 28]"
Jülide İskenderoğlu’n,Adalet ve Kalkınma Partisi,[27]
K.Kemal Anadol,Cumhuriyet Halk Partisi,"[1, 2, 3, 4, 5]"
Kadim Durmaz,Cumhuriyet Halk Partisi,"[26, 27, 28]"
Kadir Aydın,Adalet ve Kalkınma Partisi,[27]
Kadir Gökmen Öğüt,,[24]
Kadir Koçdemir,,"[25, 26]"
Kadir Nar,,[]
Kadir Ural,Milliyetçi Hareket Partisi,[23]
Kadri Altay,Milliyetçi Demokrasi PartisiHür Demokrat PartiAnavatan Partisi,[17]
Kadri Yıldırım,Halkların Demokratik Partisi,"[25, 26]"
Kadri Yıldırım’ın 387 sıra sayılı Kanun Tasarısı’nın 9’uncu maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 78 31.- Manisa Milletvekili Erkan Akçay,,[]
Kahraman,,[]
Kalemli,Anavatan Partisi(1983-1999),"[17, 18, 19, 20]"
Kamer Genç,Sosyaldemokrat Halkçı Parti(1987-1995)Doğru Yol Partisi(1995-2002)Bağımsız(2002-2010)Cumhuriyet Halk Partisi(2010-2016),"[18, 19, 20, 21, 23, 24]"
Kamer Genç’in seviyesiz bir üslupla konuştuğuna ve özür dilemesi gerektiğine ilişkin açıklaması 1104 13.- Diyarbakır Milletvekili Mehmet Galip Ensarioğlu’n,,[]
Kamil Aydın,Milliyetçi Hareket Partisi,"[25, 26, 27, 28]"
Kamil Erdal Sipahi,,[23]
Kamil Okyay Sındır,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Kani Beko’n,,[27]
Kayhan Türkmenoğlu’n,,"[23, 28]"
Kazım Arslan,,[]
Kazım Arslan ile İzmir Milletvekili Atila Sertel’in yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 151:152 18.- Samsun Milletvekili Erhan Usta,,[]
Kazım Arslan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 238:239 44.- Artvin Milletvekili Uğur Bayraktutan,,[]
Kazım Kurt,Cumhuriyet Halk Partisi(2011-günümüz),[24]
Kemal Bülbül,Halkın Demokrasi PartisiHalkların Demokratik Partisi,[27]
Kemal Bülbül’ün 106 sıra sayılı Kanun Teklifi’nin 5’inci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 275:276 70.- Sakarya Milletvekili Muhammed Levent Bülbül,,[]
Kemal Değirmendereli,Cumhuriyet Halk Partisi,[24]
Kemal Kıhçdaroğlu,Cumhuriyet Halk Partisi(2002-günümüz),"[22, 23, 24, 25, 26, 27]"
Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi(2002-günümüz),"[22, 23, 24, 25, 26, 27]"
Kemal Peköz,Halkların Demokratik Partisi,[27]
Kemal Zeybek,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Kemal Çelik,,[]
Kemalettin Aydın,,"[23, 24, 25]"
Kemalettin Göktas,,[]
Kemalettin Nalcı,Milliyetçi Hareket Partisi,[23]
Kemalettin Yılmaz,Adalet ve Kalkınma Partisi,[26]
Kemalettin Yılmaztek,Adalet ve Kalkınma Partisi,[26]
Kerem Ali Sürekli,,"[25, 26]"
Kerem Altun,,[23]
Kumbaracıbaşı,,"[18, 19, 20]"
Kârınan İnan,,[]
Kâzim Özev,,[]
Köksal Toptan,Adalet Partisi(1963-1980)Bağımsız(1980-1986)Doğru Yol Partisi(1986-1999)Bağımsız(1999-2002)Adalet ve Kalkınma Partisi(2002-2015)Bağımsız(2015-günümüz),"[16, 17, 18, 19, 20, 22, 23, 24]"
Kürşat Atılgan,,[23]
Lale Karabıyık,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Levent Gök,Cumhuriyet Halk Partisi,"[24, 25, 26, 27]"
"Levent Gök, Diyarbakır Milletvekili Sibel Yiğitalp ile Mersin Milletvekili Aytuğ Atıcı’nın yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 127:128 35.- Hatay Milletvekili Serkan Topal",,[]
Levent Gök’e bundan sonraki siyasi hayatında başarılar dilediklerine ilişkin açıklaması 374 27.- Amasya Milletvekili Mehmet Naci Bostancı,,[]
Levent Gök’ün sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 278 32.- İstanbul Milletvekili Engin Altay,,[]
Levent Gök’ün yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 153:154 9.- Ankara Milletvekili Levent Gök,,[]
Leyla Şahin Usta,Adalet ve Kalkınma Partisi,"[25, 26, 27, 28]"
Lezgin Botan,Halkların Demokratik Partisi,"[25, 26]"
Lütfi Doğan,,[]
Lütfi Kaşıkçı,Milliyetçi Hareket Partisi,"[27, 28]"
Lütfiye İlksen Ceritoğlu Kurt,Adalet ve Kalkınma Partisi,"[25, 26]"
Lütfü Türkan,Milliyetçi Hareket Partisi(2011-2017)İYİ Parti(2017-günümüz),"[24, 27, 28]"
"Lütfü Türkkan, Çankırı Milletvekili Muhammet Emin Akbaşoğlu’nun yaptığı açıklamasındaki bazı ifadelerine ilişkin tekraren açıklaması 505 433 TBMM B: 62 23 . 3 . 2021 Sayfa 26.- Çankırı Milletvekili Muhammet Emin Akbaşoğlu’n",,[]
Lütfü Türkkan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 196 12.- Siirt Milletvekili Meral Danış Beştaş,,[]
M. Ali Eren,,[]
M. Cevdet Selvi,,[]
M. Erdoğan Yetenç,,[23]
M. Fatih Atay,,[]
M. Halûk Müftüler,,[]
M. Istemihan Talay,,[]
M. Murat Sökmenoglu,,[]
M. Mücahit Fındıklı,,[]
M. Necat Eldem,,[]
M. Nuri Yaman,,[]
M. Nuri Üzel,,[]
M. Rauf Ertek,,[]
M. Turan Bayazıt,,[]
M. Turan Bayezit,,[]
M. Vehbi Dinçerler,,"[17, 18, 19]"
M. Yılmaz Helvacıoğlu’n,,[]
Mahir Ünal,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Mahmud Altunakar,,[]
Mahmut Akkılıç,,[17]
Mahmut Alınak,SHPHEPÖZEPDEPDTP,"[18, 19]"
Mahmut Atilla Kaya,Adalet ve Kalkınma Partisi(2003-),"[26, 27, 28]"
Mahmut Celadet Gaydalı,Halkların Demokratik Partisi,"[25, 26, 27]"
Mahmut Keçeli,,[]
Mahmut Kılınç,,[19]
Mahmut Orhon,,"[17, 18, 19]"
Mahmut Tanal,Cumhuriyet Halk Partisi,"[24, 25, 26, 27, 28]"
Mahmut Tanal ile İstanbul Milletvekili Filiz Kerestecioğlu Demir’in yaptıkları açıklamaları ve Afyonkarahisar Milletvekili Burcu Köksal’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 537:538 33.- Manisa Milletvekili Özgür Özel,,[]
Mahmut Tanal’la karşılıklı olarak bir konuyu değerlendirirken bazı sözler sarf ettiğine ama konuşmaların siyasi eleştiri sınırları içerisinde yapılmasının doğru olacağına ilişkin açıklaması 250 23.- İstanbul Milletvekili Mahmut Tanal,,[]
Mahmut Tanal’ın 456 sıra sayılı Kanun Teklifi’nin 15’inci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 406 22.- İstanbul Milletvekili Garo Paylan,,[]
Mahmut Tanal’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 33 5.- İzmir Milletvekili Atila Sertel,,[]
Mahmut Toğrul,Halkların Demokratik Partisi,"[25, 26, 27]"
Mahmut Uyanık,,"[15, 19]"
Mahmut Öztürk,,"[18, 19]"
Malik Ecder Özdemir,,"[23, 24]"
Markar Eseyan,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Mazlum Nurlu’n,Cumhuriyet Halk Partisi,"[25, 26]"
Mehmet Abdurrezak Ceylan,,"[17, 18]"
Mehmet Akalın,İYİ Parti,[28]
Mehmet Akdemir,,[18]
Mehmet Akif Hamzaçebi,Cumhuriyet Halk Partisi,"[22, 23, 24, 25, 26, 27]"
Mehmet Akif Paksoy,Milliyetçi Hareket Partisi,[23]
Mehmet Akif Yılmaz,,"[25, 26, 27, 28]"
Mehmet Akyürek,Adalet ve Kalkınma Partisi,"[24, 26]"
Mehmet Ali Aslan,Halkların Demokratik Partisi,"[25, 26]"
Mehmet Ali Ediboğlu’n,Cumhuriyet Halk Partisi,[24]
Mehmet Ali Susam,Cumhuriyet Halk Partisi,"[23, 24]"
Mehmet Ali Çelebi,AK Parti(2022-günümüz),"[27, 28]"
Mehmet Ali Özkan,,[]
Mehmet Altan Karapaşaoğlu’n,,"[20, 21, 22, 23]"
Mehmet Altay,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Mehmet Bahattin Yücel,Anavatan PartisiDoğru Yol Partisi,"[19, 20]"
Mehmet Baykan,Adalet ve Kalkınma Partisi,[28]
Mehmet Bekaroğlu’n,"Fazilet Partisi(1999-2001)Saadet Partisi(2001-2002, 2009-2010, 2014)Halkın Sesi Partisi(2010-2012)Cumhuriyet Halk Partisi(2014-günümüz)","[21, 25, 26, 27]"
Mehmet Bekaroğlu’nun yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 942 11.- Ankara Milletvekili Bülent Kuşoğlu’n,,[]
Mehmet Büyükyılmaz,,[20]
Mehmet Celal Fendoğlu’n,Milliyetçi Hareket Partisi,"[27, 28]"
Mehmet Cihat Sezal,,[27]
Mehmet Daniş,,"[22, 23, 24]"
Mehmet Doğan Kubat,,"[24, 25, 26, 27]"
Mehmet Dönen,,"[18, 19, 21]"
Mehmet Emin Adıyaman,Halkların Demokratik Partisi,"[25, 26]"
Mehmet Emin Ekmen,Demokrasi ve Atılım Partisi(2020-günümüz),"[23, 28]"
Mehmet Emrehan Halıcı,,"[21, 23, 24]"
Mehmet Erdem,,[]
Mehmet Erdoğan,,[]
Mehmet Gökdağ,Cumhuriyet Halk Partisi,"[25, 26]"
Mehmet Göker,,[]
Mehmet Günal,Milliyetçi Hareket Partisi,"[23, 24, 25, 26]"
Mehmet Güzelmansur,Cumhuriyet Halk Partisi,"[27, 28]"
Mehmet Güzelmansur’un yaptığı gündem dışı konuşmasındaki bazı ifadelerine ilişkin açıklaması 1060:1061 33.- Antalya Milletvekili Aydın Özer,,[]
Mehmet Habib Soluk,,"[26, 27]"
Mehmet Hayri Osmanlıoğlu,,[]
Mehmet Hilal Kaplan,Cumhuriyet Halk Partisi,[24]
Mehmet Hilmi Güler,Adalet ve Kalkınma Partisi,"[22, 23]"
Mehmet Kamaç,Halkların Eşitlik ve Demokrasi Partisi,[28]
Mehmet Kara,Halkların Eşitlik ve Demokrasi Partisi,[28]
Mehmet Kasım Gülpınar,Bağımsız(2024-günümüz),"[24, 25, 26, 27]"
Mehmet Kemal Gökçora,,[]
Mehmet Kerim Yıldız,,"[22, 24]"
Mehmet Kerimoğlu,,[19]
Mehmet Keçeciler,,"[18, 19, 20, 21]"
Mehmet Kocabaş,,[]
Mehmet Korkmaz,Doğru Yol Partisi,"[18, 20]"
Mehmet Mehdi Eker,Adalet ve Kalkınma Partisi,"[22, 23, 24, 26, 27]"
Mehmet Mehmet Celal Fendoğlu’n,Milliyetçi Hareket Partisi,"[27, 28]"
Mehmet Metanet Çulhaoğlu’n,Milliyetçi Hareket PartisiİYİ Parti(2017-2024),"[21, 27]"
Mehmet Metiner,Refah Partisi(1995-1998)Fazilet Partisi(1998-2000)Halkın Demokrasi Partisi(2000-2001)Adalet ve Kalkınma Partisi(2011-günümüz),"[24, 25, 26]"
Mehmet Moğullay,,[]
Mehmet Mustafa Gürban,İYİ Parti,[28]
Mehmet Muş,Adalet ve Kalkınma Partisi(2011-günümüz),"[24, 25, 26, 27, 28]"
Mehmet Muş’un yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 313:314 34.- Siirt Milletvekili Meral Danış Beştaş,CHP,[]
Mehmet Naci Bostancı,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Mehmet Necati Çetinkaya,Adalet ve Kalkınma Partisi,"[20, 21, 22, 23, 24]"
Mehmet Necmettin Ahrazoğlu’n,Milliyetçi Hareket Partisi,[26]
Mehmet Nedim Budak,,[]
Mehmet Nezir Karabaş,Barış ve Demokrasi Partisi,[23]
Mehmet Nil Hıdır,Adalet ve Kalkınma Partisi,[23]
Mehmet Parsak,Milliyetçi Hareket Partisi,"[25, 26]"
Mehmet Ruştu Tiryaki,Halkların Demokratik Partisi(2015-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[27, 28]"
Mehmet Sait Erol,,[]
Mehmet Sait Yaz,Adalet ve Kalkınma Partisi,[28]
Mehmet Salih Uzun,Anavatan Partisi(1993-2009)Demokrat Parti(2009-2024)Bağımsız(2024-2025)Cumhuriyet Halk Partisi(2025-günümüz),[28]
Mehmet San,,[]
Mehmet Sarı,,[]
Mehmet Sağdıç,Anavatan Partisi,"[17, 18, 19, 20]"
Mehmet Sağlam,Doğru Yol PartisiAdalet ve Kalkınma Partisi,"[20, 21, 23, 24]"
Mehmet Serdaroğlu’n,"Fazilet Partisi(1999-2001)Saadet Partisi(2001-2002, 2009-2010, 2014)Halkın Sesi Partisi(2010-2012)Cumhuriyet Halk Partisi(2014-günümüz)","[21, 25, 26, 27]"
Mehmet Stlay,,[]
Mehmet Tahtasız,Cumhuriyet Halk Partisi,[28]
Mehmet Taytak,Milliyetçi Hareket Partisi,"[27, 28]"
Mehmet Tüm,,"[25, 26]"
Mehmet Tüm’ün sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 398:399 20.- Millî Eğitim Bakanı İsmet Yılmaz,,[]
Mehmet Ufuk Uras,,[23]
Mehmet Uğur Dilipak,Adalet ve Kalkınma Partisi,"[25, 26]"
Mehmet Volkan Canalioğlu’n,CHP(2004-2014),[24]
Mehmet Yaşar Ünal,,[]
Mehmet Yüksel,,[]
Mehmet Zafer Üskül,,[23]
Mehmet Çakıroğlu,Doğru Yol Partisi,[18]
Mehmet Önder Aksakal,Demokratik Sol Parti(1999-günümüz),[28]
Mehmet Öntürk,AK Parti(2002-günümüz),"[24, 25, 26]"
Mehmet İlker Çitil,Adalet ve Kalkınma Partisi,"[25, 26]"
Mehmet Şandır,,"[21, 23, 24]"
Mehmet Şandır’ın Danışma Kurulu önerisi üzerindeki konuşması sırasında kullandığı bazı ifadelere ilişkin açıklaması 52 18.- Enerji ve Tabii Kaynaklar Bakanı Taner Yıldız,,[]
Mehmet Şeker,,"[24, 25]"
Mehmet Şevki Kulkuloğlu’n,Cumhuriyet Halk Partisi,"[23, 24]"
Mehmet Şükrü Erdinç,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
MehmetAkif Hamzaçebi,Cumhuriyet Halk Partisi,"[22, 23, 24, 25, 26, 27]"
Melda Onur,Cumhuriyet Halk Partisi,[24]
Melih Meriç,Cumhuriyet Halk Partisi,[28]
Melike Basmacı,Cumhuriyet Halk Partisi,"[25, 26]"
Memet Bülent Karataş,,[27]
Mensur Işık,Halkların Demokratik Partisi(2018-2020)Bağımsız(2020-2022)Halkların Demokratik Partisi(2022-günümüz),[27]
Mensur Işık’ın 10 sıra sayılı 2019 Yılı Bütçe Kanun Teklifi ile 11 sıra sayılı 2017 Yılı Kesin Hesap Kanunu Tasarısı’nın birinci tur görüşmelerinde HDP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 88 15.- Ankara Miletvekili Mehmet Naci Bostancı,,[]
Meral Akşener,Doğru Yol Partisi(1995-2001)Milliyetçi Hareket Partisi(2001-2016)İYİ Parti(2017-günümüz),"[20, 21, 23, 24, 25]"
Meral Danış Beştaş,Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Mesut Dedeoğlu’n,Milliyetçi Hareket PartisiİYİ Parti,[24]
Metin Akgün,Adalet ve Kalkınma Partisi,[26]
Metin Bulut,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Metin Gündoğdu’n,Milliyetçi Çalışma Partisi(1987-1992)Büyük Birlik Partisi(1992-2014)Adalet ve Kalkınma Partisi(2014-günümüz),"[26, 27]"
Metin Külünk,Millî Selamet Partisi(1972–1980)[kaynak belirtilmeli]Refah Partisi(1983–1998)Fazilet Partisi(1997–2001)Adalet ve Kalkınma Partisi(2001–günümüz),"[24, 25, 26]"
Metin Lütfi Baydar,,"[24, 25, 26]"
Metin Nurullah Sazak,Milliyetçi Hareket Partisi,[27]
Metin Çelik,,"[25, 26, 27]"
Metin İlhan,,[]
Mevlüt Akgün,Adalet ve Kalkınma Partisi,"[22, 23, 24]"
Mevlüt Dudu’n,"Cumhuriyet Halk Partisi(2011-2021, 2025-günümüz)Memleket Partisi(2021-2025)","[24, 25, 26]"
Mevlüt Karakaya,Milliyetçi Hareket Partisi,"[25, 26, 27, 28]"
Mihrimah Belma Satır,AK Parti,"[24, 25, 26, 27]"
Milletvekili Cahit Özkan,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Mithat Sancar,Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 26, 27, 28]"
Mizgin Irgat,Halkların Demokratik Partisi,"[25, 26]"
Muammer Güler,Adalet ve Kalkınma Partisi(2011-günümüz),[24]
Muazzez Orhan,Halkların Demokratik Partisi,[27]
Muazzez Orhan Işık,,[]
Muhammed Fatih Toprak,Adalet ve Kalkınma Partisi,[27]
Muhammed Levent Bülbül,Milliyetçi Hareket Partisi,"[27, 28]"
Muhammed Murtaza Yetiş,,[24]
Muhammet Balta,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Muhammet Bilal Macit,,[24]
Muhammet Emin Akbaşoğlu’n,Adalet ve Kalkınma Partisi,"[25, 26, 27, 28]"
Muhammet Müfit Aydın,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Muhammet Naci Cinisli,İYİ Parti(2017-2024),[27]
Muhammet Rıza Yalçınkaya,Demokratik Sol Parti(1999-2007)Cumhuriyet Halk Partisi(2007-günümüz),"[23, 24, 25, 26]"
Muharrem Erkek,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Muharrem Işık,Cumhuriyet Halk Partisi,[24]
Muharrem Işık’ın gündem dışı ve İstanbul Milletvekili Mahmut Tanal’ın sataşma nedeniyle yaptığı konuşmaları sırasındaki bazı ifadelerine ilişkin açıklaması 867:868 5.- Aydın Milletvekili Bülent Tezcan,,[]
Muharrem Selamoğlu’n,Adalet ve Kalkınma Partisi,[23]
Muharrem Varh,Milliyetçi Hareket Partisi,"[23, 24, 25, 26, 27, 28]"
Muharrem Varlı,Milliyetçi Hareket Partisi,"[23, 24, 25, 26, 27, 28]"
Muharrem Varlı’nın 390 sıra sayılı Kanun Tasarısı’nın 2’nci maddesi üzerinde MHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 66:67 3 TBMM B: 80 9 . 3 . 2017 Sayfa 21.- Adana Milletvekili Muharrem Varlı,,[]
Muharrem Varlı’nın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 68 23.- Amasya Milletvekili Mehmet Naci Bostancı,,[]
Muharrem İnce,Cumhuriyet Halk Partisi(1992-2021; 2025-günümüz),"[22, 23, 24, 25, 26]"
Muharrem Şemsek,,[]
Muhittin Yıldırım,,[]
Mukadder Başeğmez,Refah Partisi(1983-1998)Fazilet Partisi(1998-2001)Saadet Partisi(2001-2014)Adalet ve Kalkınma Partisi(2014-2017)İYİ Parti(2017-2023),"[19, 20, 21]"
Murat Alparslan,Adalet ve Kalkınma Partisi,"[25, 26, 28]"
Murat Bakan,Cumhuriyet Halk Partisi(2004-günümüz),"[26, 27, 28]"
Murat Emir,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Murat Çan,Cumhuriyet Halk Partisi,[28]
Murat Çepni,"Ezilenlerin Sosyalist Partisi(2010-2016, 2024-günümüz)Halkların Demokratik Partisi(2016-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-2024)",[27]
Murat Özkan,,[23]
Musa Piroğlu’n,Halkların Demokratik Partisi,[27]
Musa Çam,Cumhuriyet Halk Partisi,"[24, 25, 26]"
Musa Öğ,,[]
Mustafa Adıgüzel,Cumhuriyet Halk Partisi,"[25, 27, 28]"
"Mustafa Adıgüzel’in 90 sıra sayılı Kanun Teklifi’nin 3’üncü maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 96 57.- Millî Eğitim, Kültür, Gençlik ve Spor Komisyonu Başkanı Emrullah İşler",,[]
Mustafa Akaydın,Adalet ve Kalkınma Partisi,[28]
Mustafa Ali Balbay,,"[24, 25, 26]"
Mustafa Alkayış,Adalet ve Kalkınma Partisi,[28]
Mustafa Arslan,,[]
Mustafa Ataş,Refah PartisiAdalet ve Kalkınma Partisi,"[19, 20, 21, 22]"
Mustafa Ateş Amiklioğlu,,[19]
Mustafa Açıkgöz,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Mustafa Bahri Kibar,,"[18, 19, 20]"
Mustafa Baki Ersoy,Milliyetçi Hareket Partisi,"[27, 28]"
Mustafa Balcılar,Anavatan Partisi,"[17, 18, 19, 20]"
Mustafa Baş,Refah PartisiAdalet ve Kalkınma Partisi,"[19, 20, 21, 22]"
Mustafa Canbey,Adalet ve Kalkınma Partisi,"[27, 28]"
Mustafa Dağcı,,[]
Mustafa Demir,,[]
Mustafa Demir’in AK PARTİ olarak sağlık çalışanlarının haklarını korumak için sağlıkta şiddetin önlenmesi kanun teklifini Meclis Başkanlığına sunduklarına ve CHP’nin sürecin başından beri destek taleplerine karşılık vermediğine ilişkin açıklaması 526:527 43.- Ankara Milletvekili Mustafa Destici,,[]
