speech_giver,political_party,terms
Bülent Yener Bektaşoğlu’n,Cumhuriyet Halk Partisi,"[25, 26]"
Bülent Öz,Cumhuriyet Halk Partisi,"[25, 26]"
Büyükbaş,,[]
Cafer Tayyar Sadıklar,Milliyetçi Demokrasi Partisi,[17]
Cahit Özkan,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Cahit Özkan’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 80:81 42.- Denizli Milletvekili Cahit Özkan,,[]
Canan Arıtman,Cumhuriyet Halk Partisi,"[22, 23]"
Canan Candemir Çelik,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26]"
Canan Kalsın,,"[23, 27]"
Candan Yüceer,Cumhuriyet Halk Partisi,"[24, 25, 26, 27]"
Cavit Arı,Cumhuriyet Halk Partisi,"[27, 28]"
Cavit Şadi Pehlivanoğlu,Adalet Partisi(1961-1969)Anavatan Partisi(1983-1995),"[12, 13, 19]"
Celal Adan,Doğru Yol Partisi(1999-2007)Demokrat Parti(2007-2011)Milliyetçi Hareket Partisi(2011-günümüz),"[21, 24, 25, 26, 27, 28]"
Celal Doğan,Cumhuriyet Halk Partisi(1977-1980)Sosyaldemokrat Halkçı Parti(1989-1994)Cumhuriyet Halk Partisi(1995-2015)Halkların Demokratik Partisi(2015-2018)Demokratik Sol Parti(2019-günümüz),"[16, 25, 26]"
Celal Topkan,Cumhuriyet Halk Partisi,[20]
Cem Avşar,"Cumhuriyet Halk Partisi(2023, 2025-günümüz)",[28]
Cem Kozlu,Anavatan Partisi,[19]
Cemal Alişan,Anavatan PartisiDoğru Yol Partisi,"[18, 19, 20]"
Cemal Bekle,Adalet ve Kalkınma Partisi,[27]
Cemal Enginyurt,Milliyetçi Çalışma Partisi(1987-1993)Milliyetçi Hareket Partisi(1993-2020)Demokrat Parti(2020-2024)Bağımsız(2024-2025)Cumhuriyet Halk Partisi(2025-günümüz),"[21, 27, 28]"
