filename,session_date
tbmm02011026.txt,24.12.1340
tbmm02011027.txt,27.12.1340
tbmm02011028.txt,29.12.1340
tbmm02011029.txt,31.12.1340
tbmm02011030.txt,01.01.1341
tbmm02011031.txt,03.01.1341
tbmm02012032.txt,05.01.1341
tbmm02012033.txt,07.01.1341
tbmm02012034.txt,08.01.1341
tbmm02012035.txt,12.01.1341
tbmm02012036.txt,17.01.1341
tbmm02012037.txt,19.01.1341
tbmm02012038.txt,21.01.1341
tbmm02012039.txt,22.01.1341
tbmm02012040.txt,24.01.1341
tbmm02012041.txt,26.01.1341
tbmm02012042.txt,29.01.1341
tbmm02013043.txt,31.01.1341
tbmm02013044.txt,01.02.1341
tbmm02013045.txt,02.02.1341
tbmm02013046.txt,03.02.1341
tbmm02013047.txt,04.02.1341
tbmm02013048.txt,05.02.1341
tbmm02013049.txt,07.02.1341
tbmm02013050.txt,08.02.1341
tbmm02013051.txt,09.02.1341
tbmm02013052.txt,10.02.1341
tbmm02013053.txt,11.02.1341
tbmm02013054.txt,12.02.1341
tbmm02013055.txt,14.02.1341
tbmm02014056.txt,15.02.1341
tbmm02014057.txt,16.02.1341
tbmm02014058.txt,17.02.1341
tbmm02014059.txt,18.02.1341
tbmm02014060.txt,19.02.1341
tbmm02014061.txt,21.02.1341
tbmm02014062.txt,23.02.1341
tbmm02014063.txt,23.02.1341
tbmm02014064.txt,25.02.1341
tbmm02014065.txt,26.02.1341
tbmm02015066.txt,28.02.1341
tbmm02015067.txt,01.03.1941
tbmm02015068.txt,03.03.1341
tbmm02015069.txt,04.03.1341
tbmm02015070.txt,05.03.1341
tbmm02015071.txt,07.03.1341
tbmm02015072.txt,08.03.1341
tbmm02015073.txt,09.03.1341
tbmm02015074.txt,10.03.1341
tbmm02015075.txt,11.03.1341
tbmm02015076.txt,12.03.1341
tbmm02015077.txt,14.03.1341
tbmm02015078.txt,15.03.1341
tbmm02015079.txt,16.03.1341
tbmm02015080.txt,17.03.1341
tbmm02016082.txt,19.03.1341
tbmm02016083.txt,21.03.1341
tbmm02016084.txt,22.03.1341
tbmm02016085.txt,23.03.1341
tbmm02016086.txt,24.03.1341
tbmm02016087.txt,25.03.1341
tbmm02016088.txt,26.03.1341
tbmm02016089.txt,30.03.1341
tbmm02016090.txt,31.03.1341
tbmm02017091.txt,01.04.1341
tbmm02017092.txt,02.04.1341
tbmm02017093.txt,04.04.1341
tbmm02017094.txt,05.04.1341
tbmm02017095.txt,06.04.1341
tbmm02017096.txt,07.04.1341
tbmm02017097.txt,08.04.1341
tbmm02017098.txt,09.04.1341
tbmm02017099.txt,11.04.1341
tbmm02017100.txt,12.04.1341
tbmm02017101.txt,13.04.1341
tbmm02018102.txt,14.04.1341
tbmm02018103.txt,04.04.1341
tbmm02018104.txt,16.04.1341
tbmm02018105.txt,18.04.1341
tbmm02018106.txt,19.04.1341
tbmm02018107.txt,20.04.1341
tbmm02018108.txt,21.04.1341
tbmm02018109.txt,22.04.1341
tbmm02019002.txt,02.11.1341
tbmm02019004.txt,07.11.1341
tbmm02019005.txt,09.11.1341
tbmm02019006.txt,11.11.1341
tbmm02019009.txt,16.11.1341
tbmm02019010.txt,18.11.1341
tbmm02019012.txt,21.11.1341
